,video_id,comment_desc,comment_publish
0,hHGlDhJkDKI,"amex is not a company , its a feeling<br>they hire the best talent and make the best talent <br>this company can make the world <br>cmon guyz , apply for amec credit card<br>if you are lucky , you may be approved <br>its a priceless feeling to hold an amex card <br>99% apply but they wont even get to hear from amex<br>this is the power of amex<br>only 1% elite , prestigious and privileged can hold amex card",
1,hHGlDhJkDKI,"american express is the future !! <br>use our credit card, you will know why credit card is imp.<br>amec is the world , just apply - you wont regret",
2,hHGlDhJkDKI,"Ganesh, you are brilliant, your business partners are super supportive; including your parent&#39;s. But, i must mention your research team. They are brilliant than you. I am being brutally honest brother. Hope to meet them this year, at your office. Keep up the good work little bros and sisters !",
3,hHGlDhJkDKI,This is philanthropy not capitalism.,
4,hHGlDhJkDKI,I need to discuss with you sir inbox ..Business opportunity,
5,hHGlDhJkDKI,If your notebook’s CP is higher than Walmart’s SP you should buy wholesale from Walmart instead of your current supplier. Lol,
6,hHGlDhJkDKI,"<a href=""https://youtu.be/0IofzGjEu1Y"">https://youtu.be/0IofzGjEu1Y</a>",
7,hHGlDhJkDKI,Great One,
8,hHGlDhJkDKI,Just one question what should a business like Walmart do in such a condition,
9,hHGlDhJkDKI,Tata in india,
10,hHGlDhJkDKI,But how did AMEX make profits? 25 dollars for 1 million people is quite expense right?,
11,hHGlDhJkDKI,Hats off to your storytelling skills. You are doing an amazing job. Best wishes for the future!!!!!!,
12,hHGlDhJkDKI,Friend can you please take few studies of real estate entrepreneurship,
13,hHGlDhJkDKI,"<a href=""https://www.youtube.com/watch?v=hHGlDhJkDKI&amp;t=2m17s"">2:17</a>  If their CP was even more than Walmart&#39;s SP, they should&#39;ve tried buying from Walmart once.😂😂",
14,hHGlDhJkDKI,Diwali+SRK+Cadbury+local shopkeepers.<br><br>Ad toh dekha hoga 😎,
15,hHGlDhJkDKI,Cadbury&#39;s &quot; not just a Cadbury ad &quot; is inspired from the same case I feel,
16,hHGlDhJkDKI,Our banks on the other hand just go and give instant discounts for all the Online sales of Amazon and Flipkart and kill small businesses with Transaction charges and monthly fees.,
17,hHGlDhJkDKI,Whenever I feel low.. I always come here.. I guess I have watched all you videos twice or more than it..! <br>Lots of love❤,
18,hHGlDhJkDKI,Why not you explain to governing people now ? So that rich will not become richer and poor will not become poorer,
19,hHGlDhJkDKI,Wonderful..... You do a good job.,
20,hHGlDhJkDKI,I am a chef by profession<br>Even I have a youtube channel<br>But I am stuck on your videos<br>That I have watch 4 of your videos in a row<br> And still going<br>Your story telling skill is awesome<br>Why don&#39;t you teach us story telling,
21,hHGlDhJkDKI,I am crying 😭,
22,hHGlDhJkDKI,I was on the first chapter of marketing management by philip kotler and searched &quot;small business saturday&quot; and got this AMAZING video 🔥,
23,hHGlDhJkDKI,Then after this how walmart responded or how it earned profit,
24,hHGlDhJkDKI,Love u bhai,
25,hHGlDhJkDKI,"Hi Ganesh!!  I am not a business student... I am not even planning to be one., But I still find it fascinating to listen to your vedios... The way you narrate is absolutely captivating..",
26,hHGlDhJkDKI,"At  <a href=""https://www.youtube.com/watch?v=hHGlDhJkDKI&amp;t=7m57s"">7:57</a> towards the background music increase so much",
