,video_Id,video_viewCount,video_likeCount,video_favoriteCount,video_commentCount
0,hHGlDhJkDKI,129409,10444,0,554
1,-_jOwk6GsXo,382926,21017,0,823
2,YCngR6uSEVo,335968,18130,0,923
3,A1k62pSQ7so,410373,25167,0,1246
4,-NtB3rf8paE,283101,11762,0,550
5,wzsYAuxhxSw,437271,17989,0,548
6,h7xd2PqtglQ,1170219,38559,0,1772
7,h9dlG5WfDfI,143187,12080,0,538
8,SGIKsejp7-0,565288,25733,0,792
9,5JKTbU6RnA0,728816,30210,0,1816
10,BiO2WRPBzSA,508057,24885,0,1942
11,0wVAPXswE6E,477745,21355,0,849
12,5vMbXNjgSjw,318354,17652,0,388
13,cbTEAeteaI8,469401,16013,0,429
14,X2f9IiflXaQ,208202,14585,0,572
15,o-gGiyY9s9w,279487,15948,0,601
16,eLT1To94V-Q,609410,25796,0,912
17,WWpSZY1RAAM,475436,15549,0,467
18,RoD3kThcl6U,1223343,42995,0,1728
19,X-CLMLrHcqU,420528,17208,0,738
20,WnfqgKTz3fk,781957,48808,0,3909
21,S5x54ZlNHX0,485625,19404,0,490
22,-d7f71CFACo,1555508,52414,0,3613
23,8rulgRgwHYc,165971,8767,0,487
24,jRRpGLy0TBg,216296,9225,0,315
25,8tBuAM0XHmY,421543,17680,0,1631
26,pK887oMqxRY,207374,13780,0,483
27,vgV9HNuUxKY,890600,23729,0,853
28,-DE7KXOK_qU,286124,12198,0,325
29,8352JG8CCoE,1342518,52608,0,3279
30,KNblG_-QOL0,533212,35976,0,2614
31,jp_CSPtSQWY,293869,14935,0,622
32,vkrBQCQLQG0,295934,15497,0,594
33,iQRe7OHtHXg,751467,30103,0,931
34,kotO3sUv-xo,737746,33506,0,1742
35,TqZRgHOlKmU,69760,5727,0,195
36,JqSeQ3c4_qI,294713,10586,0,340
37,yhpVAki47RI,2247447,86045,0,4953
38,fxjFr54LLOw,784790,23432,0,576
39,tI9fRLNmNkY,579783,19113,0,448
40,p2RCPyv95SE,215332,14148,0,632
41,dVtnSPZn6BU,380694,14158,0,631
42,K7uvd1Muc80,591282,23707,0,1001
43,glHQPkrcf8A,799160,25017,0,811
44,TCboTQr8Ecg,604819,22318,0,851
45,er752AxyziE,526297,21630,0,589
46,urLoa8PkQpU,1212253,27755,0,1145
47,OEB_UviHDq0,1072805,37001,0,1066
48,lSF--3zgjKQ,201323,12549,0,706
49,Z7P-t_yc8gE,1097153,33343,0,1065
50,vkrBQCQLQG0,295934,15497,0,594
51,kotO3sUv-xo,737746,33506,0,1742
52,JqSeQ3c4_qI,294713,10586,0,340
53,8rulgRgwHYc,165971,8767,0,487
54,yhpVAki47RI,2247447,86045,0,4953
